number,original_date,author,title,published,pages,fav,month,year
1,Jun-68,Jean-Jacques  Rousseau,The  Confessions ,1781,606,TRUE,06,1968
2,Jun-68,Erich  Fromm,The  Art of Loving ,1956,146,TRUE,06,1968
3,Jun-68,Mark  Twain,The  Adventures of Huckleberry Finn,,288,FALSE,06,1968
4,Jul-68,James  Thurber,My  Life and Hard Times,1933,115,FALSE,07,1968
5,Jul-68,William  Shakespeare,Romeo  and Juliet,1596,146,FALSE,07,1968
6,Aug-68,John  Barth,The  End of the Road,1958,206,FALSE,08,1968
7,Sep-68,Aldous  Huxley,Brave  New World,1932,199,FALSE,09,1968
8,Sep-68,Fritz  Peters,Boyhood  with Gurdjieff,1964,174,FALSE,09,1968
9,Oct-68,P.D.  Ouspensky,In  Search of the Miraculous ,1949,389,TRUE,10,1968
10,Nov-68,Russell  H. Miles,"Johann  Sebastian Bach, an Introduction to his Life and Works",1962,164,FALSE,11,1968
11,Dec-68,Hunter  Davies,The  Beatles,1968,340,FALSE,12,1968
12,Dec-68,P.D.  Ouspensky,The  Strange Life of Ivan Osokin,1955,166,FALSE,12,1968
13,Jan-69,René  Daumal,Mount  Analogue,1952,106,FALSE,01,1969
14,Jan-69,Bernard  Malamud,The  Assistant,1957,192,FALSE,01,1969
15,Jan-69,C.G.  Jung,"Memories,  Dreams, Reflections",1961,359,FALSE,01,1969
16,Jan-69,Philip  Roth,"Goodbye,  Columbus",1959,97,FALSE,01,1969
17,Feb-69,Malcolm  X and Alex Haley,Autobiography,1964,460,FALSE,02,1969
18,Feb-69,"Jule  Eisenbud, M.D.",The  World of Ted Serios,1968,339,FALSE,02,1969
19,Feb-69,Penelope  Gilliatt,A  State of Change,1967,221,FALSE,02,1969
20,Feb-69,Oscar  Wilde,The  Picture of Dorian Gray,1891,234,FALSE,02,1969
21,Feb-69,Joseph  Heller,Catch  22,1961,463,FALSE,02,1969
22,Feb-69,Voltaire,Candide,1758,144,FALSE,02,1969
23,Feb-69,F.  Scott Fitzgerald,The  Great Gatsby,1925,182,FALSE,02,1969
24,Feb-69,L.N.  Tolstoy,War  and Peace ,1869,1444,TRUE,02,1969
25,May-69,Philip  Roth,Portnoy's  Complaint ,1969,274,TRUE,05,1969
26,May-69,George  Orwell,Down  and Out in Paris and London,1933,155,FALSE,05,1969
27,Jun-69,Fyodor  Dostoyevsky,The  Brothers Karamazov,1881,701,FALSE,06,1969
28,Jun-69,Norman  Podhoretz,Making  It,1967,262,FALSE,06,1969
29,Jun-69,Rodney  Collin,The  Theory of Eternal Life,1948,123,FALSE,06,1969
30,Jun-69,Norman  Mailer,Miami  and the Siege of Chicago,1968,223,FALSE,06,1969
31,Jul-69,G.I.  Gurdjieff,Meetings  with Remarkable Men,1927,303,FALSE,07,1969
32,Jul-69,William  Shakespeare,Hamlet,1602,,FALSE,07,1969
33,Aug-69,James  Simon Kunen,The  Strawberry Statement,1969,151,FALSE,08,1969
34,Sep-69,Emily  Brontë,Wuthering  Heights ,1847,320,TRUE,09,1969
35,Jan-70,Herman  Melville,Moby  Dick,1851,535,FALSE,01,1970
36,Jan-70,Johann  Wolgang Goethe,The  Sorrows of Young Werther ,1774,199,TRUE,01,1970
37,Feb-70,Jean-Paul  Sartre,Nausea,1938,253,FALSE,02,1970
38,Mar-70,Garrett  Mattingly,The  Armada ,1959,402,TRUE,03,1970
39,Apr-70,Honoré  de Balzac,Eugénie  Grandet,1833,248,FALSE,04,1970
40,Apr-70,Bertrand  Russell,The  Conquest of Happiness,1930,180,FALSE,04,1970
41,May-70,Margaret  Mead,Culture  and Commitment,1970,97,FALSE,05,1970
42,Jul-70,Jane  Austen,Sense  and Sensibility,1811,349,FALSE,07,1970
43,Aug-70,L.N.  Tolstoy,"Childhood,  Boyhood, Youth",1857,319,FALSE,08,1970
44,Sep-70,Norman  Zierold,Garbo,1969,157,FALSE,09,1970
45,Oct-70,Joan  Didion,Play  It as It Lays,1970,,FALSE,10,1970
46,Oct-70,Anais  Nin,Diary,1934,358,FALSE,10,1970
47,Nov-70,André  Gide,The  Counterfeiters,1927,397,FALSE,11,1970
48,Dec-70,Gustave  Flaubert,Sentimental  Education,1869,419,FALSE,12,1970
49,Jan-71,Joseph  Conrad,Lord  Jim,1900,313,FALSE,01,1971
50,Jan-71,William  Shakespeare,Othello,1602,128,FALSE,01,1971
51,Feb-71,Thomas  Mann,Buddenbrooks,1901,595,FALSE,02,1971
52,Mar-71,Bill  Moyers,Listening  to America ,1971,342,TRUE,03,1971
53,Ap.  1971,Alvin  Toffer,Future  Shock,1970,430,FALSE,04,1971
54,Jun-71,Jerzy  Kosinski,Being  There,1971,140,FALSE,06,1971
55,Juy  1971,Charlotte  Brontë,Jane  Eyre ,1847,477,TRUE,07,1971
56,Aug-71,William  Shakespeare,King  Lear,1605,138,FALSE,08,1971
57,Aug-71,Johann  Wolfgang Goethe,Elective  Affinities,1809,300,FALSE,08,1971
58,Sep-71,William  J. Mitchell,Elementary  Harmony,1965,230,FALSE,09,1971
59,Oct-71,Edmund  S. Morgan,The  Birth of the Republic,1956,157,FALSE,10,1971
60,Nov-71,Kenneth  A. Lockridge,"A  New England Town, the First One Hundred Years",1969,180,FALSE,11,1971
61,Dec-71,Mary  Renault,The  Charioteer,1961,347,FALSE,12,1971
62,Jan-72,L.N.  Tolstoy,Anna  Karenina ,1873,852,TRUE,01,1972
63,Feb-72,Milovan  Djilas,The  New Class,1957,214,FALSE,02,1972
64,Mar-72,Albert  Schweitzer,"J.S.  Bach, Vol. 1 ",1911,428,TRUE,03,1972
65,Apr-72,Alan  Watts,The  Wisdom of Insecurity,1951,152,FALSE,04,1972
66,Aug.1972,Larry  McMurtry,All  My Friends are Going to Be Strangers,1972,286,FALSE,08,1972
67,Sep-72,Richard  Bach,Jonathan  Livingston Seagull,1970,93,FALSE,09,1972
68,Oct-72,Thomas  Wolfe,Look  Homeward Angel,1929,522,FALSE,10,1972
69,Oct-72,Alan  Moorehead,Darwin  and the Beagle,1969,270,FALSE,10,1972
70,Feb-73,Charles  Dickens,David  Copperfield,,850,FALSE,02,1973
71,Apr-73,Charles  Dickens,American  Notes,1842,320,FALSE,04,1973
72,Jun-73,W.J.  Cash,The  Mind of the South,1941,440,FALSE,06,1973
73,Jun-73,William  Faulkner,The  Wild Palms,1939,,FALSE,06,1973
74,Jul-73,Thomas  Hardy,Tess  of the D'Urbervilles,1902,517,FALSE,07,1973
75,Aug-73,Irving  Bieber,"Homosexuality,  a Psychoanalytic Survey",1955,319,FALSE,08,1973
76,Aug-73,André  Gide,The  Immoralist,1903,171,FALSE,08,1973
77,Sep-73,Dee  Brown,Bury  My Heart at Wounded Knee,1971,421,FALSE,09,1973
78,Oct-73,Gabriel  Garcia Marques,One  Hundred Years of Solitude,1970,383,FALSE,10,1973
79,Oct-73,Jane Austen,Pride and Prejudice ,1797,430,TRUE,10,1973
80,Nov-73,Sarah N. Randolph,The Domestic Life of Thomas Jefferson,1939,384,FALSE,11,1973
81,Nov-73,Daniel Boorstin,The Lost World of Thomas Jefferson,1948,248,FALSE,11,1973
82,Dec-73,Peter McCabe and Robert D. Schonfeld,Apple to the Core,1972,200,FALSE,12,1973
83,Dec-73,E.N. da C. Andrade,"Sir Isaac Newton, His Life and Work",1954,136,FALSE,12,1973
84,Dec-73,John Kenneth Galbraith,Economics and the Public Purpose,1973,324,FALSE,12,1973
85,Dec-73,Anne F. Scott,The Southern Lady,1970,231,FALSE,12,1973
86,Jan-74,Georges Lefebvre,The Coming of the French Revolution,1947,220,FALSE,01,1974
87,Feb-74,Konrad Lorenz,On Aggression,1966,290,FALSE,02,1974
88,Feb-74,Bette Davis,The Lonely Life,1962,254,FALSE,02,1974
89,Mar-74,Merle Miller,"Plain Speaking, an Oral Biography of Harry S. Truman",1973,432,FALSE,03,1974
90,Mar-74,Vladimir Nabokov,Transparent Things,1972,158,FALSE,03,1974
91,Apr-74,Jane Austen,Persuasion,1818,254,FALSE,04,1974
92,Apr-74,Jim Bouton,Ball Four,1970,369,FALSE,04,1974
93,May-74,Bruce Catton,This Hallowed Ground,1956,495,FALSE,05,1974
94,May-74,Jan Morris,Conundrum,1974,174,FALSE,05,1974
95,Jul-74,Constantine Fitzgibbon,The Life of Dylan Thomas,1965,346,FALSE,07,1974
96,Aug-74,Chogyam Thungpa,Cutting Through Spiritual Materialism,,,FALSE,08,1974
97,Aug-74,Peter Benchley,Jaws,1974,272,FALSE,08,1974
98,Aug-74,Carlos Castaneda,Journey to Ixtlan,1972,315,FALSE,08,1974
99,Aug-74,Chaim Potok,The Chosen,,,FALSE,08,1974
100,Oct-74,Sir Arthur Conan Doyle,The Adventures of Sherlock Holmes ,1892,248,TRUE,10,1974
101,Oct-74,Richard Hofstadter,America at 1750,1973,292,FALSE,10,1974
102,Nov-74,Graham Greene,The End of the Affair,1951,240,FALSE,11,1974
103,Dec-74,Clive Davis,"Clive, Inside the Record Business",1974,291,FALSE,12,1974
104,Feb-75,Robert A. Caro,The Power Broker ,1974,1162,TRUE,02,1975
105,Jun-75,Henry James,Portrait of a Lady ,1881,545,TRUE,06,1975
106,Sep-75,Nicholas Meyer,The Seven Per-Cent Solution,1974,234,FALSE,09,1975
107,Jan-76,William M. Thackeray,Memoirs of Barry Lyndon,1854,324,FALSE,01,1976
108,Feb-76,"Kurt Vonnegut, Jr.",Breakfast of Champions,1973,295,FALSE,02,1976
109,Mar-76,F. Scott Fitzgerald,The Last Tycoon,1941,163,FALSE,03,1976
110,Apr-76,Rollo May,The Courage to Create,1975,140,FALSE,04,1976
111,Apr-76,Aaron Coplan,Coplan on Music,1944-60,280,FALSE,04,1976
112,Jul-76,Harold Mattingly,The Man in the Roman Street,1966,156,FALSE,07,1976
113,Dec-76,Curtis Cate,George Sand,1975,732,FALSE,12,1976
114,Dec-76,John S. Shelton,Geology Illustrated ,1966,424,TRUE,12,1976
115,Dec-76,Saul Bellow,To Jerusalem and Back,1976,182,FALSE,12,1976
116,Jan-77,Saul Bellow,Humboldt's Gift ,1973,472,TRUE,01,1977
117,Feb-77,Robert Wm. Fogel and Stanley L. Engerman,"Time On the Cross, the Economics of American Negro Slavery",1974,264,FALSE,02,1977
118,Feb-77,Colin McEvedy,The Penguin Atlas of Medieval History,1961,90,FALSE,02,1977
119,Feb-77,R.D. Laing,Do You Love Me?,1976,86,FALSE,02,1977
120,Feb-77,C.G. Jung,The Undiscovered Self,1957,125,FALSE,02,1977
121,May-77,C.G. Jung,Modern Man in Search of a Soul ,1933,244,TRUE,05,1977
122,May-77,Charles Chaplin,My Autobiography ,1964,497,TRUE,05,1977
123,May-77,Margaret Drabble,A Summer Bird-Cage,1963,208,FALSE,05,1977
124,Jun-77,Arthur C. Clarke,Childhood's End,1953,218,FALSE,06,1977
125,Jul-77,Henry James,The Europeans,1878,173,FALSE,07,1977
126,Sep-77,Stephen King,The Shining ,1977,447,TRUE,09,1977
127,Aug-77,Henry James,The Ambassadors,1903,397,FALSE,08,1977
128,Jun-77,Bulfinch,Mythology ,1855,236,TRUE,06,1977
129,Nov-77,Gail Sheehy,Passages,1976,514,FALSE,11,1977
130,Dec-77,William Shakespeare,Richard III,1595,148,FALSE,12,1977
131,Dec-77,J. Hector St. John de Crevecoeur,Letters from an American Farmer,1782,225,FALSE,12,1977
132,Mar-78,Norman Mailer,"Genius and Lust, a Journey through the Major Writings of Henry Miller",1976,476,FALSE,03,1978
133,Apr-78,Charles Darwin,The Origin of Species ,1859,460,TRUE,04,1978
134,Apr-78,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance ,1974,406,TRUE,04,1978
135,May-78,Erik Erikson,Childhood and Society ,1950,424,TRUE,05,1978
136,May-78,Marcel Proust,Swann's Way ,1928,325,TRUE,05,1978
137,May-78,,"Chapters in Western Civilization, Vol. 1",1954,545,FALSE,05,1978
138,Jun-78,Plato,"The Last Days of Socrates, Euthyphro, The Apology, Crito, Phaedo ",390b.c.,199,TRUE,06,1978
139,Jun-78,Chie Nakane,Japanese Society,1970,151,FALSE,06,1978
140,Jun-78,Homer,The Iliad,730b.c.,459,FALSE,06,1978
141,Jun-78,Plato,The Symposium,385b.c.,122,FALSE,06,1978
142,Aug-78,Fyodor Dostoevsky,The Idiot ,,642,TRUE,08,1978
143,Sep-78,Lytton Strachey,Eminent Victorians,,338,FALSE,09,1978
144,Sep-78,Robertson Davies,Fifth Business ,1970,268,TRUE,09,1978
145,Nov-78,A.J.P. Taylor,The Second World War,1975,235,FALSE,11,1978
146,Nov-78,Antonia Fraser,Mary Queen of Scots,1970,652,FALSE,11,1978
147,Dec-78,Jack Kerouac,On the Road ,1955,310,TRUE,12,1978
148,Feb-79,John McPhee,Coming Into the Country,1976,438,FALSE,02,1979
149,Ma. 1979,William Manchester,The Glory and the Dream,1974,1302,FALSE,05,1979
150,May-79,L.N. Tolstoy,Ressurrection,1899,568,FALSE,05,1979
151,Jun-79,Paul Bowles,The Sheltering Sky,1949,305,FALSE,06,1979
152,Jun-79,Joseph Conrad,Heart of Darkness,1902,111,FALSE,06,1979
153,Jul-79,Yukio Mishima,Spring Snow,1968,376,FALSE,07,1979
154,Jul-79,James Joll,European History since 1870,1973,486,FALSE,07,1979
155,Aug-79,Norman Mailer,Marilyn,1974,262,FALSE,08,1979
156,Aug-79,Jean Rhys,"Good Morning, Midnight ",1974,190,TRUE,08,1979
157,Aug-79,John Irving,The World According to Garp,1976,609,FALSE,08,1979
158,Sep-79,Plato,"The Protagoras, The Meno","430, 402b.c.",157,FALSE,09,1979
159,Sep-79,Richard Price,Ladies' Man ,1978,264,TRUE,09,1979
160,Sep-79,James M. Cain,The Postman Always Rings Twice,1934,120,FALSE,09,1979
161,Sep-79,Jean Rhys,Voyage in the Dark ,1934,159,TRUE,09,1979
162,Sep-79,Adam Smith,The Wealth of Nations,1776,347,FALSE,09,1979
163,Nov-79,John C. Brandt and Stephen P. Maran,New Horizons in Astronomy,1979,533,FALSE,11,1979
164,Nov-79,Margaret Mead,Male and Female,1949,344,FALSE,11,1979
165,Nov-79,Friedrich Nietzsche,Ecco Homo,1888,134,FALSE,11,1979
166,Nov-79,A. Alvarez,The Savage God,1971,272,FALSE,11,1979
167,Nov-79,Thomas Hardy,Jude the Obscure ,1896,511,TRUE,11,1979
168,Dec-79,George Santayana,The Sense of Beauty,1896,164,FALSE,12,1979
169,Dec-79,Jonathan Swift,Gulliver's Travels ,1726,360,TRUE,12,1979
170,Dec-79,W.B. Yeats,Autobiography,1922,387,FALSE,12,1979
171,Dec-79,John Reed,Ten Days that Shook the World,1926,351,FALSE,12,1979
172,Jan-80,Isaac Bashevis Singer,The Slave ,1962,287,TRUE,01,1980
173,Jan-80,John Dewey,Liberalism and Social Action,1935,93,FALSE,01,1980
174,Jan-80,Studs Turkel,Working,1972,762,FALSE,01,1980
175,Feb-80,Charles Dickens,Great Expectations,1861,512,FALSE,02,1980
176,Jul-80,Jean-Jacques Rousseau,"Botany, a study of pure curiosity",1781,122,FALSE,07,1980
177,Jul-80,Henry James,The American,1875,325,FALSE,07,1980
178,Jul-80,Len Jenkin,New Jerusalem,Unpub-lished,204,FALSE,07,1980
179,Sep-80,Jean Dorst,"The Life of Birds, vol. 1 ",1971,341,TRUE,09,1980
180,Sep-80,Marcel Proust,Within a Budding Grove ,1920,386,TRUE,09,1980
181,Oct-80,Lester C. Thurow,The Zero-Sum Society,1980,214,FALSE,10,1980
182,Nov-80,John Huston,An Open Book,1980,373,FALSE,11,1980
183,Nov-80,Mordecai Richler,"Joshua, Then and Now",1980,435,FALSE,11,1980
184,Jan-81,W.X.C. Guthrie,Socrates,1969,187,FALSE,01,1981
185,Jan-81,Jonathan Miller,The Body in Question,1978,341,FALSE,01,1981
186,Feb-81,Edward Gibbon,The Decline and Fall of the Roman Empire (Abridged) ,1787,713,TRUE,02,1981
187,Feb-81,J.P. Donleavy,"The Destinies of Darcy Dancer, Gentleman ",1977,402,TRUE,02,1981
188,Mar-81,James Joyce,A Portrait of the Artist as a Young Man ,1916,253,TRUE,03,1981
189,Mar-81,John Steinbeck,The Acts of King Arthur and His Noble Knights,1976,349,FALSE,03,1981
190,Jun-81,J.D. Salinger,"uncollected short stories, vol. 2 (containing ""The Inverted Forest"")",Unpublished 1947,107,FALSE,06,1981
191,Jun-81,Gary Zukav,The Dancing Wu Li Masters ,1979,332,TRUE,06,1981
192,Jun-81,Johann Wolfgang Goethe,Faust (part one),1805,197,FALSE,06,1981
193,Jul-81,David Halberstam,The Powers That Be ,1979,1027,TRUE,07,1981
194,Jul-81,Laurie Lee,As I Walked Out One Midsummer Morning,1969,186,FALSE,07,1981
195,Jul-81,Benvenuto Cellini,Autobiography,1562,397,FALSE,07,1981
196,Aug-81,Isaac Bashevis Singer,Lost in America,1981,259,FALSE,08,1981
197,Sep-81,Charles Dickens,Nicholas Nickleby,1839,934,FALSE,09,1981
198,Oct-81,Jack London,Martin Eden,1909,348,FALSE,10,1981
199,Oct-81,Henry James,Washington Square,1880,174,FALSE,10,1981
200,Oct-81,Aristotle,On Poetry and Style,c.350b.c.,106,FALSE,10,1981
201,Oct-81,Saint Augustine,Confessions ,398a.d.,347,TRUE,10,1981
202,Nov-81,Joan Edelman Spero,The Politics of International Economic Relations,1981,334,FALSE,11,1981
203,Nov-81,Francois Rabelais,Gargantua and Pantagruel,1534,712,FALSE,11,1981
204,Dec-81,David Halberstam,The Breaks of the Game,1981,360,FALSE,12,1981
205,Dec-81,Immanuel Kant,Foundations of the Metaphysics of Morals,1785,92,FALSE,12,1981
206,Dec-81,Einhard,The Life of Charlemagne,830,67,FALSE,12,1981
207,Jan-82,David Hume,An Enquiry Concerning Human Understanding,1748,124,FALSE,01,1982
208,Jan-82,Miguel de Cervantes Saavedra,Don Quixote ,1604,940,TRUE,01,1982
209,Jan-82,Virginia Woolf,A Room of One's Own ,1929,118,TRUE,01,1982
210,Jan-82,Gustave Flaubert,The Dictionary of Accepted Ideas,c.1882,92,FALSE,01,1982
211,Feb-82,Baldesar Castiglione,The Book of the Courtier ,1518,345,TRUE,02,1982
212,Feb-82,Charles Major,When Knighthood Was in Flower,1898,294,FALSE,02,1982
213,Feb-82,Giovanni Pico della Mirandola,Oration on the Dignity of Man,1487,69,FALSE,02,1982
214,Feb-82,"David C. Gompert, Michael Mandelbaum, Richard L. Garwin, John H. Barton",Nuclear Weapons and World Politics,1977,354,FALSE,02,1982
215,Mar-82,D.M. Thomas,The White Hotel ,1981,240,TRUE,03,1982
216,Mar-82,"Willard Gaylin, Ira Glasser, Steven Marcus, David Rochman",Doing Good(The Limits of Benevolence),1978,168,FALSE,03,1982
